id,Позиция,Готовый текст
51,Блок №2,"该公司Delion是在加拿大，地址如下：500金斯敦的路多伦多M4L1V3，多伦多，加拿大。
该公司Delion是授权进行的活动和工作要求按照加拿大委员会在证券交易委员会(许可证号：132/21).
该公司Delion授权进行操作时，通过委员会关于国际金融服务(综合家庭服务中心)(51/138/TS/19).
该公司的活动Delion是受其监管的金融服务委员会的毛里求斯共和国的许可证数量的投资交易商:C234781230.
客户有权拒绝服务的公司。

在这种情况下，退款是根据进行的客户协议和退款政策基金提出了在个人内阁的平台。

区域限制：全Delion不提供服务，到居民的美国、比利时、日本、以色列和瓦努阿图共和国.

安全与SSL。
版权所有©2017年至2020年Delion. 所有权保留
"
4.2 Рынки,,
4.2.1. Посадочный экран,,
52,Заголовок,"Delion提供进入银行的流动资金 
由于直接进入金融市场，确保一致性的执行和准确性高的报价 "
53,Подзаголовок,
4.2.2. Описание рынков,,
54,Общий заголовок,提供无限制地允许交易已知的金融市场
55,Заголовок №1,货币对
56,Описание к заголовку №1,对大多数液体市场提供的机会中获利汇率变化
57,Заголовок №2,加密货币
58,Описание к заголовку №2,发现新的机会，包括贸易波动的货币像比特币、复仇，莱特币、波纹
59,Заголовок №3,合约
60,Описание к заголовку №3,使用的个人经历，使贸易中的份额的领先公司
4.2.3. Таблица торговых инструментов,,
61,Заголовок,存在的120多的金融工具的交易
62,Подзаголовок,贸易商可以交易的不同资产类别：加密货币、货币对贵金属和证券
4.3 О компании,,
4.3.1. О компании + Показатели,,
63,Слоган-заголовок,Delion—简单、可伸缩性和稳定性。
64,Подзаголовок,每天使许多商业交易，这表明对可靠和稳定的合作
65,Показатели,300 000多开账户；将近2百万贸易交易的每日超过4年市场上超过120交易文书；每日交易额的将近50美元万美元。
"4.3.2. Вы в центре всего, что мы делаем",,
66,Заголовок,正规化的贸易条件以实现功能和便利贸易商
67,Подзаголовок,其主要目标是提供机会，交易做出分析和市场的预测，进行招标，并成功地提取资金
4.3.3. Цели и задачи компании,,
68,Общий заголовок,主要任务Delion
69,Заголовок №1,给每个交易商的最佳交易条件
70,Описание заголовка №1,定期优化操作的服务，引进先进技术交易平台，降低成本和时期的执行
71,Заголовок №2,提供机会，来分析并研究了市场
72,Описание заголовка №2,贸易商通过采用的工具，即使没有丰富的经验，能够成功地预测价格的变动的资产 
4.3.4. Больше возможностей для трейдинга,,
73,Заголовок №1,贸易具有无限的可能性
74,Описание заголовка №1,由于战略和战术Delion消失的任何边界交易。
4.3.5. Наша история,,
75,Общий заголовок,是如何发展的Delion
76,2017 год. Заголовок,打开第一个办事处，并启动一个交易平台
77,2017 год. Описание,工作的质量和服务被理解成千上万的用户
78,2018 год. Заголовок,授予的第一个国际奖项
79,2018 год. Описание,Delion被授予最好的欧洲的投资经纪最差价经纪欧洲和最差价经纪人在亚洲。
80,2019 год. Заголовок,注册的超过200 000账户
81,2019 год. Описание,有强有力的增长，用户账户
82,2020 год. Заголовок,这些购物交易的达到2亿每天
83,2020 год. Описание,超过50百万美元的付款，顾客可信赖的公司Delion
4.3.6. Платформа для торговли разработанная для людей.,,
84,Заголовок,Delion—一个额外的机会用于交易，成功的贸易金融市场
85,Подзаголовок,使用各种工具，分析和预测的价格变动的资产 
86,Преимущества,先进的分析工具；访问的价格；顺利贸易的24/7；即时执行的命令；负平衡保护个人数据；简便的接口；利用从1:1至1：500
4.4 Ошибка 404.,,
87,Текст сообщения об ошибке,错误！ 回到主页，或接触的支持。
4.5 Дополнительные элементы GUI.,,
88,Регистрация,报名
89,Начать торговать,开始交易
90,Открыть счет,开立账户
91,Узнать больше,了解更多
92,Подробнее,更多细节
93,Запросить обратный звонок,要求回电
94,Международный номер,国际号码
95,Наша почта,我们的邮件
96,Местоположение,所在位置
97,Языки поддержки,支持语言
98,Обязательное поле,必填项
99,Имя,名
100,Фамилия,姓氏
101,Ваш номер телефона,您的电话号码
102,Ваш E-mail,您的电邮
103,Страна,国别
104,Язык поддержки,语言支持
105,Удобное время для звонка,方便的通话时间
106,Запросить звонок,请求通话
107,Последние экономические новости,最新经济新闻
4.6 Название колонок в таблице рынков.,,
108,Инструмент,仪器仪表
109,Мин. изменение цены,闵。 价格变动
110,Стандартный лот,标准手
111,Мин. размер лота,闵。 批量
112,Макс. размер лота,最高 批量
113,Шаг изменения объема в лотах,批量更改音量的步骤
114,Макс. плечо,最高 肩膀
115,Открытие,发现
116,Закрытие,闭幕
4.7 Окно регистрации.,,
117,"Введите пароль. Рекомендуем использовать минимум одну цифру, один символ и одну заглавную букву. Пароль должен быть длиннее 8 знаков",输入密码。 我们建议至少使用一个数字，一个字符和一个大写字母。 密码必须超过8个字符
118,Введите ваше имя,输入你的名字
119,Введите ваш E-mail,输入您的电子邮件
120,Введите пароль. ,输入密码。
121,Подтвердите пароль,确认密码
122,Поле для ввода номера телефона,电话号码输入栏
123,Введите промокод,输入促销代码
124,Забыли пароль?,忘记密码了？
125,Уже есть учетная запись,已经有一个帐号
4.7 Окно входа.,,
126,Вход,登入
127,Введите ваш E-mail,输入您的电子邮件
128,Введите ваш пароль,输入密码
