id,Позиция,Готовый текст
47,Аккаунт №3,Platinum
48,Подзаголовок для аккаунта №3,"Le statut particulier, l'ouverture de nouveaux privilèges pour les traders expérimentés"
49,Возможности аккаунта №3,Dépôt minimum
491,,$10 000
492,,Effet de levier
493,,1:500
494,,L'exécution immédiate
495,,Le commerce de crypto-monnaies
496,,Assurance-dépôts
497,,Protection des dépôts
498,,Réception d'un soutien personnalisé
4.1.8. Футер,,
50,Блок №1,"Les CFD est un des outils professionnels, comportant un haut risque de la perte d'argent en raison de l'utilisation d'effet de levier. Un certain nombre de comptes d'investisseurs de détail de subir des pertes de trading des CFD avec ce fournisseur. Vous devez être certain que vous comprenez le mécanisme du trading des CFD. Avec tous les risques possibles disponible dans l'espace personnel de la plate-forme."
51,Блок №2,"La société Delion est enregistrée au Canada, à l'adresse suivante: 500 Kingston Rd Toronto ON M4L 1V3, Toronto, Canada.
La société Delion est autorisée à exercer les activités et fonctionne en conformité avec les exigences de la commission Canadienne de la securities and exchange commission (numéro de licence: 132/21).
La société Delion est autorisée à exercer les activités de la Commission des services financiers internationaux (IFSC) (51/138/TS/19).
L'activité de la société Delion réglementé par la Commission des services financiers de la République de Maurice, le numéro de la licence d'un courtier en: C234781230.
Le client a le droit de refuser les services de l'entreprise.

Dans ce cas, le remboursement s'effectue selon le client sur le contrat et la politique de remboursement présentées dans l'espace personnel de la plate-forme.

Restrictions régionales: la marque Delion ne fournit des services à des résidents des états-UNIS, de la Belgique, du Japon, d'Israël et de la République de Vanuatu.

Protégé par SSL.
Copyright © 2017 - 2020 Delion. Tous droits réservés
"
4.2 Рынки,,
4.2.1. Посадочный экран,,
52,Заголовок,Delion ouvre l'accès à la liquidité interbancaire 
53,Подзаголовок,"Grâce à l'accès direct aux marchés financiers, la garantie de la stabilité de l'exécution des ordres et la haute précision des citations "
4.2.2. Описание рынков,,
54,Общий заголовок,Fournissons proximité immédiate infiniment de négocier sur les célèbres marchés financiers
55,Заголовок №1,Les paires de devises
56,Описание к заголовку №1,Le plus liquide du marché qui offre la possibilité de faire un profit sur la variation des taux de change
57,Заголовок №2,Crypto-monnaie
58,Описание к заголовку №2,"L'ouverture de nouvelles possibilités de négociation des волантильными monnaies comme Bitcoin, Ethereum, Litecoin, Ripple"
59,Заголовок №3,CFD sur actions
60,Описание к заголовку №3,"En appliquant une expérience personnelle, réalisez des métiers est un des leaders du marché"
4.2.3. Таблица торговых инструментов,,
61,Заголовок,La présence de plus de 120 instruments financiers de trading
62,Подзаголовок,"Les commerçants peuvent négocier des différentes catégories d'actifs: криптовалютой, les paires de devises, des métaux précieux et de valeurs mobilières."
4.3 О компании,,
4.3.1. О компании + Показатели,,
63,Слоган-заголовок,"Delion — la simplicité, évolutivité, de la stabilité."
64,Подзаголовок,"Chaque jour a lieu une multitude d'opérations commerciales, que robuste et stable de la coopération"
65,Показатели,Plus de
6501,,300 000
6502,,Ouvert des comptes commerciaux
6503,,Environ
6504,,2 mln
6505,,D'opérations commerciales de tous les jours
6506,,plus de
6507,,4 ans
6508,,Sur le marché
6509,,Plus de
6510,,120
6511,,Outils de négociation
6512,,Quotidien
6513,,$50 mln
6514,,Le volume des échanges d'environ 
"4.3.2. Вы в центре всего, что мы делаем",,
66,Заголовок,Une optimisation des conditions commerciales pour atteindre la fonctionnalité et la commodité pour les commerçants
67,Подзаголовок,"L'objectif principal est de fournir aux traders la possibilité d'analyser et de prévoir le marché, d'effectuer des transactions et de retirer des fonds avec succès"
4.3.3. Цели и задачи компании,,
68,Общий заголовок,Les principaux objectifs de Delion
69,Заголовок №1,Donner à chaque trader de meilleures conditions commerciales
70,Описание заголовка №1,"Régulièrement optimise les performances des services introduits technologiques terminaux, réduire le coût et la période de traitement des commandes"
71,Заголовок №2,La fourniture de la capacité de les analyser et d'étudier les marchés
72,Описание заголовка №2,"Le trader à l'aide des outils, même pas avec sa grande expérience, sera en mesure de réussi à prédire le mouvement des prix des actifs "
4.3.4. Больше возможностей для трейдинга,,
73,Заголовок №1,Le commerce avec des possibilités illimitées
74,Описание заголовка №1,Grâce à la stratégie et la tactique de la Delion disparaître les frontières dans le commerce.
4.3.5. Наша история,,
75,Общий заголовок,Comment se passait le développement Delion
76,2017 год. Заголовок,"Ouvert le premier bureau, a également lancé une plateforme de trading"
77,2017 год. Описание,La qualité du travail et le service a été évalué à un auditoire de milliers d'utilisateurs
78,2018 год. Заголовок,La remise des premiers prix internationaux
79,2018 год. Описание,"Delion a été récompensé par le Best Europe Investment Broker, Best CFD Broker Europe et Best CFD Broker ASIA."
80,2019 год. Заголовок,Enregistré plus de 200 000 comptes
81,2019 год. Описание,On observe la croissance des factures personnalisés
82,2020 год. Заголовок,Indicateur nombre d'opérations commerciales a atteint 2 millions de dollars par jour
83,2020 год. Описание,Plus de 50 millions de dollars des paiements de clients qui ont fait confiance à la société Delion
4.3.6. Платформа для торговли разработанная для людей.,,
84,Заголовок,Delion — possibilité pour les commerçants de succès effectuer des transactions sur les marchés financiers
85,Подзаголовок,"En appliquant une multitude d'outils, de les analyser et déduisez le mouvement des prix des actifs "
86,Преимущества,Avancée des outils d'analyse
861,,L'accès à des citations
862,,Des interruptions de commerce 24/7
863,,Exécution instantanée des ordres
864,,Protection contre les soldes négatifs et des données personnelles
865,,Une interface simple
866,,L'effet de levier de 1:1 à 1:500
4.4 Ошибка 404.,,
87,Текст сообщения об ошибке,Erreur! Revenez sur la page d'accueil ou contactez votre support technique.
4.5 Дополнительные элементы GUI.,,
88,Регистрация,Enregistrement
89,Начать торговать,Démarrer les échanges
90,Открыть счет,Ouvrir un compte
91,Узнать больше,En savoir plus
92,Подробнее,En savoir plus
93,Запросить обратный звонок,Demander un rappel
94,Международный номер,Numéro international
95,Наша почта,Notre bureau de poste
96,Местоположение,Lieu
97,Языки поддержки,Langues de support
98,Обязательное поле,Champ obligatoire
99,Имя,Nom
100,Фамилия,Nom de famille
101,Ваш номер телефона,Votre numéro de téléphone
102,Ваш E-mail,Votre adresse électronique
103,Страна,Pays
104,Язык поддержки,Langue de soutien
105,Удобное время для звонка,Un moment pratique pour appeler
106,Запросить звонок,Demander un appel
107,Последние экономические новости,Dernières nouvelles économiques
4.6 Название колонок в таблице рынков.,,
108,Инструмент,Outil
109,Мин. изменение цены,Changement de prix min.
110,Стандартный лот,Lot standard
111,Мин. размер лота,Taille minimale du lot
112,Макс. размер лота,Taille max. du lot
113,Шаг изменения объема в лотах,Étape pour le changement de volume des lots
114,Макс. плечо,Épaule max.
115,Открытие,Ouverture
116,Закрытие,Clôture
4.7 Окно регистрации.,,
117,"Введите пароль. Рекомендуем использовать минимум одну цифру, один символ и одну заглавную букву. Пароль должен быть длиннее 8 знаков","Entrez le mot de passe. Nous recommandons un minimum d'un chiffre, d'un caractère et d'une lettre majuscule. Le mot de passe doit comporter plus de 8 caractères."
118,Введите ваше имя,Entrez votre nom
119,Введите ваш E-mail,Entrez votre adresse électronique
120,Введите пароль. ,Entrez le mot de passe
121,Подтвердите пароль,Confirmer le mot de passe
122,Поле для ввода номера телефона,Champ de saisie du numéro de téléphone
123,Введите промокод,Entrez le code promotionnel
124,Забыли пароль?,Vous avez oublié votre mot de passe?
125,Уже есть учетная запись,Vous avez déjà un compte
4.7 Окно входа.,,
126,Вход,Connexion
127,Введите ваш E-mail,Entrez votre adresse électronique
128,Введите ваш пароль,Entrez votre mot de passe
129,,FR
130,,fr
131,,Protégé par SSL.
132,,Copyright © 2017 - 2020 Delion.
133,,Tous droits réservés
134,,Contacts
135,,Plus de fonctionnalités
136,,Les dernières nouvelles économiques
137,,Informations sur les comptes
138,,les heures de fermeture et d'ouverture sont en UTC+0
139,,Demandez à un appel et nous vous contacterons bientôt
140,,Entrée dans le cabinet personnel
141,,Champs obligatoires
142,,Plus de possibilités pour le commerce
143,,Accueil
144,,Les marchés
145,,À propos de la société
146,,Pourquoi Delion?
147,,Des avantages supplémentaires
148,,Trois étapes pour commencer à trader
149,,Forex
150,,Outil
151,,Min changement de prix
152,,Lot standard
153,,Min la taille du lot
154,,Max. la taille du lot
155,,Étape de modification du volume par lots
156,,Max. épaule
157,,Ouverture*
158,,Fermeture *
159,,Les métaux
160,,Gros titre
161,,Stocks
162,,Pays
163,,Devis Devises
164,,Nombre de contrats pour 1 lot
165,,Matières premières
166,,Pas de volume
167,,ETF
168,,Crypto
169,,Indice
170,,Source:
171,,Détaillé
