id,Позиция,Готовый текст
48,Подзаголовок для аккаунта №3,"Особый статус, открывающий новые привилегии для трейдеров с опытом"
49,Возможности аккаунта №3,"- Минимальный депозит: $10 000;
- Кредитное плечо: 1:500;
- Моментальное исполнение;
- Торговля криптовалютами;
- Страхование депозитов;
- Защита депозитов;
- Круглосуточная персональная поддержка;"
4.1.8. Футер,,
50,Блок №1,"Контракты CFD – это профессиональные инструменты, несущие в себе высокий риск быстрой потери денег по причине использования заемных средств. Определенное количество счетов розничных инвесторов несут убытки от торговли CFD с этим провайдером. Вам следует точно убедиться, что вы понимаете механизм торговли CFD. Со всеми возможными рисками можно ознакомиться в личном кабинете платформы."
51,Блок №2,"Компания Delion зарегистрирована в Канаде по адресу:  500 Kingston Rd Toronto ON M4L 1V3, Toronto, Canada.
Компания Delion уполномочена на ведение деятельности и работает в соответствии с требованиями Канадской комиссии по ценным бумагам и биржам (номер лицензии: 132/21).
Компания Delion уполномочена на ведение деятельности Комиссией по международным финансовым услугам (IFSC) (51/138/TS/19).
Деятельность компании Delion регулируется Комиссией по финансовым услугам Республики Маврикия, номер лицензии инвестиционного дилера: C234781230.
Клиент имеет право отказаться от услуг компании.

В этом случае возврат денежных средств осуществляется согласно клиентскому соглашению и политике возврата денежных средств представленных в личном кабинете платформы.

Региональные ограничения: бренд Delion не предоставляет услуги резидентам США, Бельгии, Японии,  Израиля и Республике Вануату.

Защищено SSL.
Авторское право © 2017 - 2020 Delion. Все права защищены
"
4.2 Рынки,,
4.2.1. Посадочный экран,,
52,Заголовок,Delion открывает доступ к межбанковской ликвидности 
53,Подзаголовок,"Благодаря прямому доступу к финансовым рынкам, гарантируется стабильность исполнения ордеров и высокая точность котировок "
4.2.2. Описание рынков,,
54,Общий заголовок,Предоставляем возможность безгранично торговать на известных финансовых рынках
55,Заголовок №1,Валютные пары
56,Описание к заголовку №1,"Самый ликвидный рынок, предоставляющий возможность получать прибыль на изменении курсов валют"
57,Заголовок №2,Криптовалюта
58,Описание к заголовку №2,"Открытие новых возможностей, торгуя такими волантильными валютами, как Bitcoin, Ethereum, Litecoin, Ripple"
59,Заголовок №3,CFD на акции
60,Описание к заголовку №3,"Применяя личный опыт, осуществляйте торги акциями ведущих компаний"
4.2.3. Таблица торговых инструментов,,
61,Заголовок,Наличие более 120 финансовых инструментов для трейдинга
62,Подзаголовок,"Трейдеры могут торговать разными категориями активов: криптовалютой, валютными парами, ценными металлами и бумагами"
4.3 О компании,,
4.3.1. О компании + Показатели,,
63,Слоган-заголовок,"Delion — простота, масштабируемость, стабильность."
64,Подзаголовок,"Каждый день совершается множество торговых операций, что свидетельствует о надежном и стабильном сотрудничестве"
65,Показатели,Свыше 300 000 открытых торговых счетов; около 2-х млн торговых операций ежедневно; более 4-х лет на рынке; более 120 торговых инструментов; ежедневный объем торговли около $50 млн.
"4.3.2. Вы в центре всего, что мы делаем",,
66,Заголовок,"Регулярная оптимизация торговых условий, чтобы достичь функциональности и удобства для трейдеров"
67,Подзаголовок,"Главная цель — обеспечение возможности трейдерам делать анализ и прогнозы рынка, осуществлять торги и упешно выводить средства"
4.3.3. Цели и задачи компании,,
68,Общий заголовок,Главные задачи Delion
69,Заголовок №1,Предоставить каждому трейдеру самые оптимальные торговые условия
70,Описание заголовка №1,"Регулярно оптимизируется работа сервисов, внедряются технологичные торговые терминалы, сокращены издержки и период обработки ордеров"
71,Заголовок №2,Предоставление возможностей анализировать и изучать рынки
72,Описание заголовка №2,"Трейдер, воспользовавшись инструментами, даже не обладая большим опытом, сможет успешно прогнозировать движение цен активов "
4.3.4. Больше возможностей для трейдинга,,
73,Заголовок №1,Торговля с неограниченными возможностями
74,Описание заголовка №1,Благодаря стратегии и тактики Delion исчезают любые границы в трейдинге.
4.3.5. Наша история,,
75,Общий заголовок,Как происходило развитие Delion
76,2017 год. Заголовок,"Открыт первый офис, а также запущена торговая платформа"
77,2017 год. Описание,Качество работы и обслуживание было оценено тысячной аудиторией пользователей
78,2018 год. Заголовок,Вручение первых международных наград
79,2018 год. Описание,"Delion был награжден Best Europe Investment Broker, Best CFD Broker Europe и Best CFD Broker ASIA."
80,2019 год. Заголовок,Зарегистрировано свыше 200 000 счетов
81,2019 год. Описание,Наблюдается активный рост пользовательских счетов
82,2020 год. Заголовок,Показатель количества торговых операций достиг 2-х млн в сутки
83,2020 год. Описание,"Свыше $50 млн выплат клиентам, которые доверились компании Delion"
4.3.6. Платформа для торговли разработанная для людей.,,
84,Заголовок,Delion — дополнительная возможность для трейдеров уcпешно совершать торговые операции на финансовых рынках
85,Подзаголовок,"Применяя множество инструментов, анализируйте и прогнозируйте движение цен активов "
86,Преимущества,Продвинутые аналитические инструменты; доступ к котировкам; бесперебойная торговля 24/7; моментальное исполнение ордеров; защита от отрицательного баланса и персональных данных; простой интерфейс; кредитное плечо от 1:1 до 1:500
4.4 Ошибка 404.,,
87,Текст сообщения об ошибке,Ошибка! Вернитесь на главную страницу или обратитесь в службу поддержки.
4.5 Дополнительные элементы GUI.,,
88,Регистрация,Регистрация
89,Начать торговать,Начать торговать
90,Открыть счет,Открыть счет
91,Узнать больше,Узнать больше
92,Подробнее,Подробнее
93,Запросить обратный звонок,Запросить обратный звонок
94,Международный номер,Международный номер
95,Наша почта,Наша почта
96,Местоположение,Местоположение
97,Языки поддержки,Языки поддержки
98,Обязательное поле,Обязательное поле
99,Имя,Имя
100,Фамилия,Фамилия
101,Ваш номер телефона,Ваш номер телефона
102,Ваш E-mail,Ваш E-mail
103,Страна,Страна
104,Язык поддержки,Язык поддержки
105,Удобное время для звонка,Удобное время для звонка
106,Запросить звонок,Запросить звонок
107,Последние экономические новости,Последние экономические новости
4.6 Название колонок в таблице рынков.,,
108,Инструмент,Инструмент
109,Мин. изменение цены,Мин. изменение цены
110,Стандартный лот,Стандартный лот
111,Мин. размер лота,Мин. размер лота
112,Макс. размер лота,Макс. размер лота
113,Шаг изменения объема в лотах,Шаг изменения объема в лотах
114,Макс. плечо,Макс. плечо
115,Открытие,Открытие
116,Закрытие,Закрытие
4.7 Окно регистрации.,,
117,"Введите пароль. Рекомендуем использовать минимум одну цифру, один символ и одну заглавную букву. Пароль должен быть длиннее 8 знаков","Введите пароль. Рекомендуем использовать минимум одну цифру, один символ и одну заглавную букву. Пароль должен быть длиннее 8 знаков"
118,Введите ваше имя,Введите ваше имя
119,Введите ваш E-mail,Введите ваш E-mail
120,Введите пароль. ,Введите пароль. 
121,Подтвердите пароль,Подтвердите пароль
122,Поле для ввода номера телефона,Поле для ввода номера телефона
123,Введите промокод,Введите промокод
124,Забыли пароль?,Забыли пароль?
125,Уже есть учетная запись,Уже есть учетная запись
4.8 Окно входа.,,
126,Вход,Вход
127,Введите ваш E-mail,Введите ваш E-mail
128,Введите ваш пароль,Введите ваш пароль
