id,Позиция,Готовый текст
47,Аккаунт №3,Platinum
48,Подзаголовок для аккаунта №3,El estatus especial que abre nuevos privilegios para los comerciantes con la experiencia
49,Возможности аккаунта №3,Depósito mínimo
491,,$10 000;
492,,Apalancamiento
493,,1:500
494,,De ejecución inmediata
495,,El comercio криптовалютами
496,,El seguro de depósitos
497,,Protección de depósitos
498,,Recepción personal de apoyo
4.1.8. Футер,,
50,Блок №1,El CFD es una de las herramientas profesionales que llevan en sí mismos un alto riesgo de pérdida rápida de dinero por el uso de la deuda. Una cierta cantidad de cuentas de los inversores minoristas se enfrentan las pérdidas del comercio de CFD con este proveedor. Usted debe asegurarse de que usted entiende el mecanismo de comercio de CFD. Con todos los riesgos se pueden consultar en la oficina de personal de la plataforma.
51,Блок №2,"La empresa de Delion registrada en canadá en la siguiente dirección: 500 Kingston Rd Toronto ON M4L 1V3, Toronto, Canada.
La empresa de Delion autorizada para ejercer las actividades de conformidad con los requisitos de la comisión Canadiense de la securities and exchange commission (número de licencia: 132/21).
La empresa de Delion autorizada para ejercer las actividades de la Comisión internacional de servicios financieros (IFSC) (51/138/TS/19).
La actividad de la empresa Delion regulada por la Comisión de servicios financieros de la república de mauricio, el número de la licencia de inversión distribuidor: C234781230.
El cliente tiene el derecho de rechazar los servicios de la compañía.

En este caso, el reembolso se realiza de acuerdo a un cliente que ejecuta el acuerdo y la política de devolución de dinero presentadas en la oficina de personal de la plataforma.

Los límites regionales: la marca de Delion no proporciona servicios a residentes de los estados unidos, bélgica, japón, israel y la república de vanuatu.

Está protegido por SSL.
Copyright © 2017 - 2020 Delion. Todos los derechos reservados
"
4.2 Рынки,,
4.2.1. Посадочный экран,,
52,Заголовок,Delion abre el acceso a la liquidez interbancaria 
53,Подзаголовок,"Mediante el acceso directo a los mercados financieros, se garantiza la estabilidad de la ejecución de las órdenes y de alta precisión de las cotizaciones "
4.2.2. Описание рынков,,
54,Общий заголовок,Ofrecemos pareja infinitamente operar en los mercados financieros
55,Заголовок №1,Los pares de divisas
56,Описание к заголовку №1,"El mercado más líquido, proporciona la oportunidad de obtener ganancias en el cambio de divisas"
57,Заголовок №2,Криптовалюта
58,Описание к заголовку №2,"La apertura de nuevas oportunidades de comercio de tales волантильными monedas como Bitcoin, Ethereum, Litecoin, Ripple"
59,Заголовок №3,Cfds sobre acciones
60,Описание к заголовку №3,"Aplicando la experiencia personal, el impulso de la negociación de las acciones de las empresas líderes"
4.2.3. Таблица торговых инструментов,,
61,Заголовок,La presencia de más de 120 instrumentos financieros para negociación
62,Подзаголовок,"Los comerciantes pueden negociar las diferentes categorías de activos: криптовалютой, los pares de divisas, metales preciosos y valores"
4.3 О компании,,
4.3.1. О компании + Показатели,,
63,Слоган-заголовок,"Delion — la simplicidad, escalabilidad, estabilidad."
64,Подзаголовок,"Cada día se realiza muchas de las operaciones comerciales, lo que indica un lugar seguro y estable de cooperación"
65,Показатели,Más de
6501,,300 000
6502,,Abiertas las cuentas comerciales
6503,,Alrededor de
6504,,2 millones
6505,,De transacciones por día
6506,,Más de
6507,,4 años
6508,,En el mercado
6509,,Más de
6510,,120
6511,,Herramientas comerciales
6512,,Diario
6513,,$50 millones
6514,,El comercio de alrededor
"4.3.2. Вы в центре всего, что мы делаем",,
66,Заголовок,"Regular la optimización de las condiciones comerciales, para lograr la funcionalidad y la comodidad para los comerciantes"
67,Подзаголовок,"El principal objetivo es brindar la oportunidad a los comerciantes de hacer el análisis y las previsiones del mercado, realizar las operaciones y упешно retirar fondos"
4.3.3. Цели и задачи компании,,
68,Общий заголовок,Los principales objetivos de Delion
69,Заголовок №1,Proporcionar a cada inversionista las mejores condiciones comerciales
70,Описание заголовка №1,"Regularmente se optimiza el rendimiento de los servicios, se están introduciendo tecnología de comercio de los terminales, se ha reducido el costo y el período de procesamiento de órdenes"
71,Заголовок №2,La oferta de posibilidades de analizar y estudiar los mercados
72,Описание заголовка №2,"El comerciante, puede usar las herramientas, incluso de no tener mucha experiencia, es capaz de predecir con éxito el movimiento de los precios de los activos "
4.3.4. Больше возможностей для трейдинга,,
73,Заголовок №1,El comercio con las posibilidades ilimitadas
74,Описание заголовка №1,Gracias a la estrategia y la táctica de Delion desaparecen todas las fronteras en el comercio.
4.3.5. Наша история,,
75,Общий заголовок,Cómo fue el desarrollo de Delion
76,2017 год. Заголовок,"Abre la primera oficina, y también se ha iniciado la plataforma"
77,2017 год. Описание,La calidad del trabajo y el servicio fue evaluada milésima parte de la audiencia de los usuarios de
78,2018 год. Заголовок,La entrega de los primeros premios internacionales
79,2018 год. Описание,"Delion fue galardonado con el Best Europe Investment Broker, Best CFD Broker Europe y Best CFD Broker de ASIA."
80,2019 год. Заголовок,Se han registrado más de 200 000 cuentas
81,2019 год. Описание,Ha experimentado un crecimiento de las cuentas de usuario
82,2020 год. Заголовок,El número de transacciones llegó a 2 millones al día
83,2020 год. Описание,De más de $50 millones de pagos a los clientes que confiaron en la empresa Delion
4.3.6. Платформа для торговли разработанная для людей.,,
84,Заголовок,"Delion, que es otra oportunidad para los comerciantes de forex con éxito realizar las operaciones de trading en los mercados financieros"
85,Подзаголовок,Aplicando una serie de herramientas que analice y prediga el movimiento de los precios de los activos 
86,Преимущества,Avanzadas herramientas de análisis
861,,El acceso a las cotizaciones
862,,Continuidad de comercio 24/7
863,,La ejecución inmediata de las órdenes
864,,La protección de saldo negativo y de los datos personales
865,,Lna interfaz simple
866,,Ll apalancamiento de 1:1 hasta 1:500
4.4 Ошибка 404.,,
87,Текст сообщения об ошибке,Error! Vuelva a la página principal o póngase en contacto con el servicio de soporte técnico.
4.5 Дополнительные элементы GUI.,,
88,Кнопка,Registro
89,Кнопка,Empieza a comerciar
90,Кнопка,Abrir una cuenta
91,Кнопка,Aprende más
92,Кнопка,Aprende más
93,Кнопка,Solicite una llamada
94,Элемент GUI,Número internacional
95,Элемент GUI,Nuestra oficina de correos
96,Элемент GUI,Ubicación
97,Элемент GUI,Idiomas de apoyo
98,Элемент GUI,Campo obligatorio
99,Элемент GUI,Nombre
100,Элемент GUI,Apellido
101,Элемент GUI,Su número de teléfono
102,Элемент GUI,Su correo electrónico
103,Элемент GUI,País
104,Элемент GUI,Lenguaje de apoyo
105,Элемент GUI,Hora conveniente para llamar
106,Элемент GUI,Solicite una llamada
107,Заголовок,Últimas noticias económicas
4.6 Название колонок в таблице рынков.,,
108,Колонка,Herramienta
109,Колонка,Cambio de precio mínimo
110,Колонка,Lote estándar
111,Колонка,Tamaño mínimo del lote
112,Колонка,Tamaño máximo del lote
113,Колонка,Paso para el cambio de volumen en lotes
114,Колонка,Max. hombro
115,Колонка,Apertura
116,Колонка,Cierre
4.7 Окно регистрации.,,
117,Подзаголовок,"Introduzca la contraseña. Recomendamos un mínimo de un número, un carácter y una letra mayúscula. La contraseña debe tener más de 8 caracteres."
118,Элемент GUI,Escriba su nombre
119,Элемент GUI,Ingrese su correo electrónico
120,Элемент GUI,Introduzca la contraseña
121,Элемент GUI,Confirme la contraseña
122,Элемент GUI,Campo para introducir el número de teléfono
123,Элемент GUI,Introduce el código de promoción
124,Элемент GUI,Olvidó su contraseña?
125,Элемент GUI,Ya tengo una cuenta.
4.7 Окно входа.,,
126,Заголовок,Ingresa en
127,Элемент GUI,Ingrese su correo electrónico
128,Элемент GUI,Introduzca su contraseña
129,,ES
