id,Позиция,Готовый текст
50,Блок №1,CFD contracts are professional instruments that carry a high risk of rapid loss of money due to the use of borrowed funds. A certain number of retail investor accounts incur losses from trading CFD with this provider. You should make sure that you understand the CFD trading mechanism. All possible risks can be found in the platform's personal account.
51,Блок №2,"Delion is registered in Canada at 500 Kingston Rd Toronto ON M4L 1V3, Toronto, Canada.
Delion is authorized to operate and operate in accordance with the requirements of the Canadian securities and exchange Commission (license number: 132/21).
Delion is authorized to operate by the international financial services Commission (IFSC) (51/138/TS/19).
Delion is regulated by the financial services Commission of the Republic of Mauritius, investment dealer license number: C234781230.
The client has the right to refuse the company's services.
In this case, the refund is made in accordance with the client agreement and the refund policy provided in the platform's personal account.
Regional restrictions: the Delion brand does not provide services to residents of the United States, Belgium, Japan, Israel, and the Republic of Vanuatu.
Protected by SSL.
Copyright © 2017-2020 Delion. All rights reserved
"
4.2 Рынки,,
4.2.1. Посадочный экран,,
52,Заголовок,Delion opens access to interbank liquidity
53,Подзаголовок,"Due to direct access to financial markets, the stability of order execution and high accuracy of quotes are guaranteed"
4.2.2. Описание рынков,,
54,Общий заголовок,We provide you with the opportunity to trade freely on well-known financial markets
55,Заголовок №1,Currency pair
56,Описание к заголовку №1,The most liquid market that allows you to make a profit on changes in exchange rates
57,Заголовок №2,Cryptocurrency
58,Описание к заголовку №2,"Opening new opportunities by trading such volatile currencies as Bitcoin, Ethereum, Litecoin, Ripple"
59,Заголовок №3,CFD on shares
60,Описание к заголовку №3,"Using your personal experience, trade shares of leading companies"
4.2.3. Таблица торговых инструментов,,
61,Заголовок,Availability of more than 120 financial instruments for trading
62,Подзаголовок,"Traders can trade different asset categories: cryptocurrency, currency pairs, precious metals, and securities"
4.3 О компании,,
4.3.1. О компании + Показатели,,
63,Слоган-заголовок,"Delion — simplicity, scalability, and stability."
64,Подзаголовок,"A lot of trading operations are performed daily, which indicates reliable and stable cooperation"
65,Показатели,More than
6501,,300 000
6502,,Opened trading accounts
6503,,About
6504,,2 million
6505,,Daily trading operations
6506,,More than
6507,,4 years
6508,,On the market
6509,,More than
6510,,120
6511,,Trading instruments
6512,,Daily about
6513,,$50 million
6514,,Trading volume
"4.3.2. Вы в центре всего, что мы делаем",,
66,Заголовок,Regular optimization of trading conditions to achieve functionality and convenience for traders
67,Подзаголовок,The main goal is the provision of opportunities for traders to make analysis and market forecasts to carry out trades successfully and withdraw the funds
4.3.3. Цели и задачи компании,,
68,Общий заголовок,Delion: the main tasks
69,Заголовок №1,Creating the most optimal trading conditions for each trader
70,Описание заголовка №1,"Services are regularly optimized, technological trading terminals are introduced, costs and orders processing time are reduced"
71,Заголовок №2,Providing opportunities to analyze and study markets
72,Описание заголовка №2,"A trader using the tools, even if they do not have much experience, will be able to successfully predict the movement of asset prices"
4.3.4. Больше возможностей для трейдинга,,
73,Заголовок №1,Trading with unlimited opportunities
74,Описание заголовка №1,"Thanks to the strategy and tactics of Delion, any boundaries in trading disappear."
4.3.5. Наша история,,
75,Общий заголовок,How did Delion develop
76,2017 год. Заголовок,The first office was opened and the trading platform was launched
77,2017 год. Описание,The quality of work and service was evaluated by thousands of users
78,2018 год. Заголовок,Presentation of the first international awards
79,2018 год. Описание,"Delion was awarded: Best Europe Investment Broker, Best CFD Broker Europe and Best CFD Broker ASIA."
80,2019 год. Заголовок,More than 200 000 trading accounts have been registered
81,2019 год. Описание,There is an active growth of user accounts
82,2020 год. Заголовок,The number of trading operations reached 2 million per day
83,2020 год. Описание,Over $50 million was paid to clients who trusted Delion
4.3.6. Платформа для торговли разработанная для людей.,,
84,Заголовок,Delion — is an additional opportunity for traders to successfully perform trading operations on financial markets
85,Подзаголовок,Use a variety of tools to analyze and forecast asset price movements
86,Преимущества,Advanced analytical tools
861,,Access to quotes
862,,Uninterrupted trading 24/7
863,,Instant order execution
864,,Protection from negative balance and personal data
865,,Simple interface
866,,Leverage from 1:1 to 1: 500
4.4 Ошибка 404.,,
87,Текст сообщения об ошибке,Error! Go back to the main page or contact support.
4.5 Дополнительные элементы GUI.,,
88,Регистрация,Registration
89,Начать торговать,Start of trading
90,Открыть счет,Open an account
91,Узнать больше,Find out more information
92,Подробнее,More detail
93,Запросить обратный звонок,Request a callback
94,Международный номер,International number
95,Наша почта,Our mail
96,Местоположение,Location
97,Языки поддержки,List of support service languages
98,Обязательное поле,Required field
99,Имя,Name
100,Фамилия,Surname
101,Ваш номер телефона,Your phone number
102,Ваш E-mail,Your email address
103,Страна,A country
104,Язык поддержки,The language in which the appeal in support of
105,Удобное время для звонка,Convenient time to call
106,Запросить звонок,Request a call
107,Последние экономические новости,Latest economic news
4.6 Название колонок в таблице рынков.,,
108,Инструмент,Tool
109,Мин. изменение цены,Minimum price change
110,Стандартный лот,Standard lot
111,Мин. размер лота,Minimum lot size
112,Макс. размер лота,Maximum lot size
113,Шаг изменения объема в лотах,Step of changing the volume in lots
114,Макс. плечо,Maximum leverage
115,Открытие,Opening
116,Закрытие,Closing
4.7 Окно регистрации.,,
117,"Введите пароль. Рекомендуем использовать минимум одну цифру, один символ и одну заглавную букву. Пароль должен быть длиннее 8 знаков","Enter your password. We recommend using at least one digit, one character, and one uppercase letter. The password must be longer than 8 characters"
118,Введите ваше имя,Enter your name
119,Введите ваш E-mail,Enter your email address
120,Введите пароль. ,Enter your password
121,Подтвердите пароль,Confirm your password
122,Поле для ввода номера телефона,Field for entering a phone number
123,Введите промокод,You need to enter a promo code
124,Забыли пароль?,Forgot your password?
125,Уже есть учетная запись,Already have an account
4.7 Окно входа.,,
126,Вход,Entrance
127,Введите ваш E-mail,Enter your email address
128,Введите ваш пароль,Enter your password
