id,Позиция,Готовый текст
47,Аккаунт №3,Platinum
48,Подзаголовок для аккаунта №3,Lo status speciale di apertura di nuovi vantaggi per i commercianti con esperienza
49,Возможности аккаунта №3,Deposito minimo
491,,$10 000
492,,Leva
493,,1:500
494,,Esecuzione immediata
495,,Il commercio di criptovalute
496,,Assicurazione dei depositi
497,,Protezione dei depositi
498,,Reception personale di supporto
4.1.8. Футер,,
50,Блок №1,"I contratti CFD – si tratta di strumenti professionali, portando in sé un alto rischio di rapida perdita di denaro a causa dell'uso della leva finanziaria. Un certo numero di conti degli investitori al dettaglio sono le perdite derivanti dalla negoziazione di CFD con questo provider. Si dovrebbe essere certi che si capisce il meccanismo di negoziazione CFD. Con tutti i possibili rischi è disponibile nell'area personale della piattaforma."
51,Блок №2,"La società Delion registrato in Canada al seguente indirizzo: 500 Kingston Rd Toronto ON M4L 1V3, Toronto, Canada.
La società Delion autorizzata a svolgere attività commerciali e funziona in conformità con i requisiti Canadese commissione securities and exchange commission (numero di licenza: 132/21).
La società Delion autorizzata a svolgere attività di una Commissione internazionale di servizi finanziari (IFSC) (51/138/TS/19).
L'attività della società Delion regolamentata dalla Commissione per i servizi finanziari della Repubblica di Mauritius, il numero di licenza di investimento concessionario: C234781230.
Il cliente ha il diritto di recedere dalla società di servizi.

In questo caso il rimborso verrà effettuato secondo il contratto cliente e la politica di rimborso presentate all'ufficio personale della piattaforma.

Restrizioni regionali: marca Delion non fornisce servizi ai residenti degli stati UNITI, Belgio, Giappone, Israele e Repubblica di Vanuatu.

Protetto da SSL.
Copyright © 2017 - 2020 Delion. Tutti i diritti riservati
"
4.2 Рынки,,
4.2.1. Посадочный экран,,
52,Заголовок,Delion apre l'accesso alla liquidità interbancaria 
53,Подзаголовок,"Grazie all'accesso diretto ai mercati finanziari, è garantita la stabilità di esecuzione degli ordini e l'alta precisione delle quotazioni "
4.2.2. Описание рынков,,
54,Общий заголовок,Offriamo la possibilità di negoziare senza limiti sui mercati finanziari noti
55,Заголовок №1,Le coppie di valute
56,Описание к заголовку №1,"Il mercato più liquido, offre la possibilità di realizzare un profitto sulla variazione dei tassi di cambio"
57,Заголовок №2,Criptovaluta
58,Описание к заголовку №2,"L'apertura di nuove possibilità, che commercia ad волантильными valute, come Bitcoin, Ethereum, Litecoin, Ripple"
59,Заголовок №3,CFD su azioni
60,Описание к заголовку №3,Applicando l'esperienza personale di effettuare le negoziazioni di titoli di aziende leader
4.2.3. Таблица торговых инструментов,,
61,Заголовок,La presenza di più di 120 strumenti finanziari di trading
62,Подзаголовок,"Gli operatori possono scambiare diverse categorie di attività: criptovaluta, coppie di valute, metalli preziosi e titoli"
4.3 О компании,,
4.3.1. О компании + Показатели,,
63,Слоган-заголовок,"Delion — semplicità, scalabilità, stabilità."
64,Подзаголовок,"Ogni giorno si svolge una pluralità di operazioni di trading, che indica un luogo sicuro e stabile collaborazione"
65,Показатели,Oltre
6501,,300 000
6502,,Commerciali aperti conti
6503,,Circa
6504,,2 mln
6505,,Di operazioni di trading al giorno
6506,,Più di
6507,,4 anni
6508,,Sul mercato
6509,,Più di
6510,,120
6511,,Strumenti di trading
6512,,Giornaliero
6513,,$50 mln
6514,,Il volume  degli scambi di circa
"4.3.2. Вы в центре всего, что мы делаем",,
66,Заголовок,"Regolare l'ottimizzazione delle condizioni di mercato, per raggiungere la funzionalità e servizi per i commercianti"
67,Подзаголовок,"Il principale obiettivo è quello di garantire la possibilità ai trader di fare analisi e previsioni di mercato, di effettuare la negoziazione ed efficiente per prelevare fondi"
4.3.3. Цели и задачи компании,,
68,Общий заголовок,Gli obiettivi principali di Delion
69,Заголовок №1,Fornire ogni trader le migliori condizioni di trading
70,Описание заголовка №1,"Regolarmente ottimizzare il lavoro dei servizi, l'introduzione di soluzioni tecnologiche commerciali terminali, costi ridotti e un periodo di elaborazione degli ordini"
71,Заголовок №2,Fornire opportunità di analizzare e studiare i mercati
72,Описание заголовка №2,"Il commerciante, sfruttando gli strumenti, anche non avendo una grande esperienza, in grado di prevedere il movimento dei prezzi delle attività "
4.3.4. Больше возможностей для трейдинга,,
73,Заголовок №1,Il commercio con possibilità illimitate
74,Описание заголовка №1,Grazie alla strategia e tattica Delion scompaiono i limiti di trading.
4.3.5. Наша история,,
75,Общий заголовок,Come accaduto lo sviluppo di Delion
76,2017 год. Заголовок,"Aperto il primo ufficio, e anche avviato una piattaforma di trading"
77,2017 год. Описание,La qualità del lavoro e il servizio è stato stimato millesimo pubblico degli utenti
78,2018 год. Заголовок,La consegna dei primi premi internazionali
79,2018 год. Описание,"Delion è stato premiato con il Best Europe Investment Broker, Best CFD Broker Europe e Best CFD Broker ASIA."
80,2019 год. Заголовок,Sono stati oltre 200 000 conti
81,2019 год. Описание,C'è una forte crescita fatture personalizzate
82,2020 год. Заголовок,Indicatore numero di operazioni di trading ha raggiunto 2 milioni al giorno
83,2020 год. Описание,Oltre 50 milioni di dollari di pagamenti per i clienti che si sono fidati della società Delion
4.3.6. Платформа для торговли разработанная для людей.,,
84,Заголовок,Delion — maggiori opportunità per i commercianti di successo di effettuare operazioni di trading sui mercati finanziari
85,Подзаголовок,"Utilizzando una varietà di strumenti, analizzare e prevedere il movimento dei prezzi delle attività "
86,Преимущества,Avanzati strumenti di analisi
861,,L'accesso alle quotazioni
862,,Tempi di negoziazione 24/7
863,,Immediata esecuzione degli ordini
864,,Protezione dal saldo negativo e dei dati personali
865,,Interfaccia semplice
866,,Leva da 1:1 a 1:500
4.4 Ошибка 404.,,
87,Текст сообщения об ошибке,Errore! Torna alla pagina principale o contattare il supporto.
4.5 Дополнительные элементы GUI.,,
88,Регистрация,Registrazione
89,Начать торговать,Inizia a fare trading
90,Открыть счет,Apri un conto
91,Узнать больше,Per saperne di più
92,Подробнее,Per saperne di più
93,Запросить обратный звонок,Richiedi un richiamo
94,Международный номер,Numero internazionale
95,Наша почта,Il nostro ufficio postale
96,Местоположение,Posizione
97,Языки поддержки,Lingue di supporto
98,Обязательное поле,Campo obbligatorio
99,Имя,Nome
100,Фамилия,Cognome
101,Ваш номер телефона,Il tuo numero di telefono
102,Ваш E-mail,La tua e-mail
103,Страна,Paese
104,Язык поддержки,Lingua di supporto
105,Удобное время для звонка,Ora conveniente per chiamare
106,Запросить звонок,Richiedi una chiamata
107,Последние экономические новости,Ultime notizie economiche
4.6 Название колонок в таблице рынков.,,
108,Инструмент,Strumento
109,Мин. изменение цены,Variazione minima del prezzo
110,Стандартный лот,Lotto standard
111,Мин. размер лота,Dimensione minima del lotto
112,Макс. размер лота,Dimensione massima del lotto
113,Шаг изменения объема в лотах,Passo per la variazione di volume nei lotti
114,Макс. плечо,Spalla massima
115,Открытие,Apertura
116,Закрытие,Chiusura
4.7 Окно регистрации.,,
117,"Введите пароль. Рекомендуем использовать минимум одну цифру, один символ и одну заглавную букву. Пароль должен быть длиннее 8 знаков","Inserire la password. Si consiglia un minimo di un numero, un carattere e una lettera maiuscola. La password deve essere più lunga di 8 caratteri."
118,Введите ваше имя,Inserisci il tuo nome
119,Введите ваш E-mail,Inserisci la tua e-mail
120,Введите пароль. ,Inserire la password
121,Подтвердите пароль,Conferma la password
122,Поле для ввода номера телефона,Campo per l'inserimento del numero di telefono
123,Введите промокод,Inserisci il codice promozionale
124,Забыли пароль?,Hai dimenticato la tua password?
125,Уже есть учетная запись,Hai già un account
4.7 Окно входа.,,
126,Вход,Log in
127,Введите ваш E-mail,Inserisci la tua e-mail
128,Введите ваш пароль,Inserisci la tua password
129,,IT
130,,it
131,,Protetto da SSL.
132,,Copyright © 2017 - 2020 Delion.
133,,Tutti i diritti riservati
134,,Contatti
135,,Più possibilità
136,,Le ultime notizie economiche
137,,Informazioni sull'account
138,,le ore di chiusura e apertura sono indicate in UTC+0
139,,Richiedi il campanello e vi contatteremo al più presto
140,,Accedi alla tua area personale
141,,I campi obbligatori
142,,Più opportunità di trading
143,,Home
144,,Mercati
145,,Azienda
146,,Perché Delion
147,,Benefici addizionali
148,,Tre passaggi per iniziare a fare trading
149,,Forex
150,,Attrezzo
151,,Min cambio di prezzo
152,,Lotto standard
153,,Min dimensione del lotto
154,,Max. dimensione del lotto
155,,Fase di modifica del volume in lotti
156,,Max. spalla
157,,Apertura*
158,,Chiusura *
159,,Metalli
160,,Titolo
161,,Riserve
162,,Nazione
163,,Quotazioni di valuta
164,,Numero di contratti per 1 lotto
165,,Commodities
166,,Intonazione del volume
167,,ETF
168,,CRYPTO
169,,INDICE
